_,_,_,_,_,_,_,PO Num,_,Item No,_,Cntr No,MBL No,Inner Qty,Outer Qty,_,_,_,_,HBL No,_,Est. Del
,,,,,,,,,,,UACU8586343,HLCUZS11912AQCG3,,,,,,,311857980ZHN,,02/03/20
,,,,,,,,,,,MBTU2010645,CMDUZSN0320819,,,,,,,312342359ZHN,,02/18/20
,,,,,,,,,,,TGHU5036533,CMDUZSN0320819,,,,,,,312342359ZHN,,02/18/20
,,,,,,,,,,,HLBU2889782,HLCUZS11912ASBN0,,,,,,,312342730ZHN,,02/21/20
,,,,,,,,,,,TCNU8524463,HLCUZS11912ASVV9,,,,,,,312732033ZHN,,03/02/20
,,,,,,,,,,,BEAU4113620,CMDUZSN0322314,,,,,,,313311397ZHN,,03/12/20
,,,,,,,,,,,CAIU9646056,HLCUASI191205603,,,,,,,HCM19121529,,02/06/20
,,,,,,,,,,,UACU8212889,HLCUASI191205603,,,,,,,HCM19121529,,02/06/20
,,,,,,,,,,,FSCU8075350,HLCUASI191205603,,,,,,,HCM19121529,,02/06/20
,,,,,,,,,,,TTNU4999083,HLCUASI191205603,,,,,,,HCM19121529,,02/06/20
,,,,,,,,,,,HLXU8040824,HLCUASI191205603,,,,,,,HCM19121529,,02/06/20
,,,,,,,,,,,UACU8268039,HLCUASI191205603,,,,,,,HCM19121529,,02/06/20
,,,,,,,,,,,MAGU5525320,OOLU2630957110,,,,,,,HCM19121586,,02/10/20
,,,,,,,,,,,OOLU8339446,OOLU2630957110,,,,,,,HCM19121586,,02/10/20
,,,,,,,,,,,TLLU4504217,OOLU2630957110,,,,,,,HCM19121586,,02/10/20
,,,,,,,,,,,OOLU9804141,OOLU2630957110,,,,,,,HCM19121586,,02/10/20
,,,,,,,,,,,OOLU9642457,OOLU2630957110,,,,,,,HCM19121586,,02/10/20
,,,,,,,,,,,DFSU7400173,OOLU2630957110,,,,,,,HCM19121586,,02/10/20
,,,,,,,,,,,BMOU4526886,HLCUEUR191105727,,,,,,,HCM19121538,,02/03/20
,,,,,,,,,,,HLXU8497019,HLCUEUR191105727,,,,,,,HCM19121538,,02/03/20
,,,,,,,3442552,,83615D 075,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3442552,,83615D 080,,UESU4135050,CMDUCBC0138737,2,12,,,,,CHRKHR20024,,02/17/20
,,,,,,,3442552,,83615D 085,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3442552,,83615D 090,,UESU4135050,CMDUCBC0138737,2,12,,,,,CHRKHR20024,,02/17/20
,,,,,,,3442552,,83615D 100,,UESU4135050,CMDUCBC0138737,3,18,,,,,CHRKHR20024,,02/17/20
,,,,,,,3442552,,83615D 105,,UESU4135050,CMDUCBC0138737,4,24,,,,,CHRKHR20024,,02/17/20
,,,,,,,3442552,,83615D 110,,UESU4135050,CMDUCBC0138737,4,24,,,,,CHRKHR20024,,02/17/20
,,,,,,,3442552,,83615D 120,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3442552,,83615D 130,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3442552,,83615E2085,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3442552,,83615E2090,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3442552,,83615E2095,,UESU4135050,CMDUCBC0138737,3,18,,,,,CHRKHR20024,,02/17/20
,,,,,,,3442552,,83615E2100,,UESU4135050,CMDUCBC0138737,3,18,,,,,CHRKHR20024,,02/17/20
,,,,,,,3442552,,83615E2105,,UESU4135050,CMDUCBC0138737,2,12,,,,,CHRKHR20024,,02/17/20
,,,,,,,3442552,,83615E2115,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443286,,83613D 075,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443286,,83613D 080,,UESU4135050,CMDUCBC0138737,2,12,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443286,,83613D 085,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443286,,83613D 095,,UESU4135050,CMDUCBC0138737,3,18,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443286,,83613D 100,,UESU4135050,CMDUCBC0138737,3,18,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443286,,83613D 105,,UESU4135050,CMDUCBC0138737,3,18,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443286,,83613D 110,,UESU4135050,CMDUCBC0138737,2,12,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443286,,83613D 115,,UESU4135050,CMDUCBC0138737,2,12,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443286,,83613D 120,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443286,,83613D 130,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443286,,83613E2090,,UESU4135050,CMDUCBC0138737,2,12,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443857,,83614D 080,,UESU4135050,CMDUCBC0138737,4,24,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443857,,83614D 085,,UESU4135050,CMDUCBC0138737,2,12,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443857,,83614D 090,,UESU4135050,CMDUCBC0138737,7,42,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443857,,83614D 095,,UESU4135050,CMDUCBC0138737,5,30,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443857,,83614D 100,,UESU4135050,CMDUCBC0138737,5,30,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443857,,83614D 105,,UESU4135050,CMDUCBC0138737,6,36,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443857,,83614D 110,,UESU4135050,CMDUCBC0138737,10,60,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443857,,83614D 115,,UESU4135050,CMDUCBC0138737,6,36,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443857,,83614D 120,,UESU4135050,CMDUCBC0138737,4,24,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443857,,83614D 130,,UESU4135050,CMDUCBC0138737,2,12,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443857,,83614E2080,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443857,,83614E2085,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443857,,83614E2090,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443857,,83614E2095,,UESU4135050,CMDUCBC0138737,2,12,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443857,,83614E2100,,UESU4135050,CMDUCBC0138737,3,18,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443857,,83614E2105,,UESU4135050,CMDUCBC0138737,3,18,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443857,,83614E2110,,UESU4135050,CMDUCBC0138737,2,12,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443857,,83613D 080,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443857,,83613D 090,,UESU4135050,CMDUCBC0138737,2,12,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443857,,83613D 095,,UESU4135050,CMDUCBC0138737,2,12,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443857,,83613D 100,,UESU4135050,CMDUCBC0138737,5,30,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443857,,83613D 105,,UESU4135050,CMDUCBC0138737,2,12,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443857,,83613D 120,,UESU4135050,CMDUCBC0138737,5,30,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443857,,83613D 130,,UESU4135050,CMDUCBC0138737,2,12,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443857,,83613E2080,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443857,,83613E2085,,UESU4135050,CMDUCBC0138737,2,12,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443857,,83613E2095,,UESU4135050,CMDUCBC0138737,2,12,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443857,,83613E2105,,UESU4135050,CMDUCBC0138737,2,12,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443857,,83613E2115,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443857,,83613E2120,,UESU4135050,CMDUCBC0138737,2,12,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443857,,83613E2130,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443857,,83616D 090,,UESU4135050,CMDUCBC0138737,6,36,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443857,,83616D 105,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443857,,83616D 110,,UESU4135050,CMDUCBC0138737,4,24,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443857,,83616D 115,,UESU4135050,CMDUCBC0138737,3,18,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443857,,83616D 120,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443857,,83616D 140,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443857,,83616E2080,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443857,,83616E2085,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443857,,83616E2090,,UESU4135050,CMDUCBC0138737,2,12,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443857,,83616E2095,,UESU4135050,CMDUCBC0138737,2,12,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443857,,83616E2105,,UESU4135050,CMDUCBC0138737,7,42,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443857,,83616E2110,,UESU4135050,CMDUCBC0138737,3,18,,,,,CHRKHR20024,,02/17/20
,,,,,,,3443857,,83616E2115,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3444422,,83615D 075,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3444422,,83615D 080,,UESU4135050,CMDUCBC0138737,2,12,,,,,CHRKHR20024,,02/17/20
,,,,,,,3444422,,83615D 090,,UESU4135050,CMDUCBC0138737,3,18,,,,,CHRKHR20024,,02/17/20
,,,,,,,3444422,,83615D 095,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3444422,,83615D 105,,UESU4135050,CMDUCBC0138737,2,12,,,,,CHRKHR20024,,02/17/20
,,,,,,,3444422,,83615D 110,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3444422,,83615D 115,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3444422,,83615D 130,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3444422,,83615E2090,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3444422,,83615E2095,,UESU4135050,CMDUCBC0138737,3,18,,,,,CHRKHR20024,,02/17/20
,,,,,,,3444422,,83615E2100,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3444422,,83615E2105,,UESU4135050,CMDUCBC0138737,2,12,,,,,CHRKHR20024,,02/17/20
,,,,,,,3444422,,83615E2110,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3444422,,83615E2115,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3444422,,83615E2120,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3444422,,83615E2130,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3446227,,83960D 085,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3446227,,83960D 130,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3447260,,83650E2115,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3447905,,83850E2115,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3447905,,83939E2090,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3447905,,83939E2095,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3447905,,83939E2100,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3447905,,83939E2110,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3447905,,83939E2120,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3447905,,83939E2130,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3447905,,83848D 085,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3447905,,83848D 090,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3447905,,83960D 080,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3447905,,83960D 085,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3447905,,83960D 090,,UESU4135050,CMDUCBC0138737,4,24,,,,,CHRKHR20024,,02/17/20
,,,,,,,3447905,,83960D 095,,UESU4135050,CMDUCBC0138737,3,18,,,,,CHRKHR20024,,02/17/20
,,,,,,,3447905,,83960D 100,,UESU4135050,CMDUCBC0138737,3,18,,,,,CHRKHR20024,,02/17/20
,,,,,,,3447905,,83960D 105,,UESU4135050,CMDUCBC0138737,5,30,,,,,CHRKHR20024,,02/17/20
,,,,,,,3447905,,83960D 110,,UESU4135050,CMDUCBC0138737,3,18,,,,,CHRKHR20024,,02/17/20
,,,,,,,3447905,,83960D 115,,UESU4135050,CMDUCBC0138737,3,18,,,,,CHRKHR20024,,02/17/20
,,,,,,,3447905,,83960D 120,,UESU4135050,CMDUCBC0138737,2,12,,,,,CHRKHR20024,,02/17/20
,,,,,,,3447905,,83960D 130,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3447905,,83960E2090,,UESU4135050,CMDUCBC0138737,2,12,,,,,CHRKHR20024,,02/17/20
,,,,,,,3447905,,83960E2095,,UESU4135050,CMDUCBC0138737,2,12,,,,,CHRKHR20024,,02/17/20
,,,,,,,3447905,,83960E2100,,UESU4135050,CMDUCBC0138737,2,12,,,,,CHRKHR20024,,02/17/20
,,,,,,,3447905,,83960E2105,,UESU4135050,CMDUCBC0138737,3,18,,,,,CHRKHR20024,,02/17/20
,,,,,,,3447905,,83960E2110,,UESU4135050,CMDUCBC0138737,3,18,,,,,CHRKHR20024,,02/17/20
,,,,,,,3447905,,83960E2120,,UESU4135050,CMDUCBC0138737,3,18,,,,,CHRKHR20024,,02/17/20
,,,,,,,3447905,,83960E2130,,UESU4135050,CMDUCBC0138737,2,12,,,,,CHRKHR20024,,02/17/20
,,,,,,,3447905,,83960E2140,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3448500,,83642D 085,,UESU4135050,CMDUCBC0138737,4,24,,,,,CHRKHR20024,,02/17/20
,,,,,,,3448500,,83642D 090,,UESU4135050,CMDUCBC0138737,7,42,,,,,CHRKHR20024,,02/17/20
,,,,,,,3448500,,83642D 095,,UESU4135050,CMDUCBC0138737,8,48,,,,,CHRKHR20024,,02/17/20
,,,,,,,3448500,,83642D 100,,UESU4135050,CMDUCBC0138737,6,36,,,,,CHRKHR20024,,02/17/20
,,,,,,,3448500,,83642D 105,,UESU4135050,CMDUCBC0138737,9,54,,,,,CHRKHR20024,,02/17/20
,,,,,,,3448500,,83642D 110,,UESU4135050,CMDUCBC0138737,8,48,,,,,CHRKHR20024,,02/17/20
,,,,,,,3448500,,83642D 115,,UESU4135050,CMDUCBC0138737,4,24,,,,,CHRKHR20024,,02/17/20
,,,,,,,3448500,,83642D 120,,UESU4135050,CMDUCBC0138737,3,18,,,,,CHRKHR20024,,02/17/20
,,,,,,,3448500,,83642D 130,,UESU4135050,CMDUCBC0138737,2,12,,,,,CHRKHR20024,,02/17/20
,,,,,,,3448500,,83642D 140,,UESU4135050,CMDUCBC0138737,2,12,,,,,CHRKHR20024,,02/17/20
,,,,,,,3448500,,83642E2080,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3448500,,83642E2085,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3448500,,83642E2090,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3448500,,83642E2105,,UESU4135050,CMDUCBC0138737,6,36,,,,,CHRKHR20024,,02/17/20
,,,,,,,3448500,,83642E2110,,UESU4135050,CMDUCBC0138737,4,24,,,,,CHRKHR20024,,02/17/20
,,,,,,,3448500,,83642E2115,,UESU4135050,CMDUCBC0138737,3,18,,,,,CHRKHR20024,,02/17/20
,,,,,,,3448500,,83642E2120,,UESU4135050,CMDUCBC0138737,2,12,,,,,CHRKHR20024,,02/17/20
,,,,,,,3448500,,83642E2130,,UESU4135050,CMDUCBC0138737,3,18,,,,,CHRKHR20024,,02/17/20
,,,,,,,3448500,,83846D 120,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3448500,,83846D 130,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3448500,,83846E2080,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3448500,,83846E2105,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3448500,,83846E2110,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3448500,,83846E2130,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3448500,,83850D 120,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3448500,,83648D 115,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3448500,,83648D 120,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3448500,,83648D 140,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3448500,,83952D 105,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3448500,,83952D 130,,UESU4135050,CMDUCBC0138737,2,12,,,,,CHRKHR20024,,02/17/20
,,,,,,,3448500,,83952E2090,,UESU4135050,CMDUCBC0138737,3,18,,,,,CHRKHR20024,,02/17/20
,,,,,,,3448500,,83952E2095,,UESU4135050,CMDUCBC0138737,3,18,,,,,CHRKHR20024,,02/17/20
,,,,,,,3448500,,83952E2100,,UESU4135050,CMDUCBC0138737,1,6,,,,,CHRKHR20024,,02/17/20
,,,,,,,3448500,,83952E2130,,UESU4135050,CMDUCBC0138737,2,12,,,,,CHRKHR20024,,02/17/20
,,,,,,,,,,,CCLU5105747,COSU6225598340,,,,,,,313521245PVG,,03/02/20
,,,,,,,3440297,,05623M 070,,UETU5153004,COSU6189092980,1,6,,,,,CHRKHR20023,,02/24/20
,,,,,,,3440297,,05623M 080,,UETU5153004,COSU6189092980,1,6,,,,,CHRKHR20023,,02/24/20
,,,,,,,3440297,,05623M 085,,UETU5153004,COSU6189092980,1,6,,,,,CHRKHR20023,,02/24/20
,,,,,,,3440297,,05623M 090,,UETU5153004,COSU6189092980,2,12,,,,,CHRKHR20023,,02/24/20
,,,,,,,3440297,,05623W2120,,UETU5153004,COSU6189092980,3,18,,,,,CHRKHR20023,,02/24/20
,,,,,,,3445940,,04293D 080,,UETU5153004,COSU6189092980,1,6,,,,,CHRKHR20023,,02/24/20
,,,,,,,3445940,,04293D 090,,UETU5153004,COSU6189092980,1,6,,,,,CHRKHR20023,,02/24/20
,,,,,,,3445940,,04293D 095,,UETU5153004,COSU6189092980,1,6,,,,,CHRKHR20023,,02/24/20
,,,,,,,3445940,,04293D 105,,UETU5153004,COSU6189092980,2,12,,,,,CHRKHR20023,,02/24/20
,,,,,,,3445940,,04293D 110,,UETU5153004,COSU6189092980,2,12,,,,,CHRKHR20023,,02/24/20
,,,,,,,3445940,,04293D 115,,UETU5153004,COSU6189092980,2,12,,,,,CHRKHR20023,,02/24/20
,,,,,,,3445940,,04293D 120,,UETU5153004,COSU6189092980,1,6,,,,,CHRKHR20023,,02/24/20
,,,,,,,3445940,,04293D 130,,UETU5153004,COSU6189092980,1,6,,,,,CHRKHR20023,,02/24/20
,,,,,,,3445940,,04293D 150,,UETU5153004,COSU6189092980,1,6,,,,,CHRKHR20023,,02/24/20
,,,,,,,3445940,,04293E2080,,UETU5153004,COSU6189092980,1,6,,,,,CHRKHR20023,,02/24/20
,,,,,,,3445940,,04293E2090,,UETU5153004,COSU6189092980,2,12,,,,,CHRKHR20023,,02/24/20
,,,,,,,3445940,,04293E2095,,UETU5153004,COSU6189092980,1,6,,,,,CHRKHR20023,,02/24/20
,,,,,,,3445940,,04293E2100,,UETU5153004,COSU6189092980,1,6,,,,,CHRKHR20023,,02/24/20
,,,,,,,3445940,,04293E2110,,UETU5153004,COSU6189092980,2,12,,,,,CHRKHR20023,,02/24/20
,,,,,,,3445940,,04293E2115,,UETU5153004,COSU6189092980,2,12,,,,,CHRKHR20023,,02/24/20
,,,,,,,3445940,,04293E2120,,UETU5153004,COSU6189092980,4,24,,,,,CHRKHR20023,,02/24/20
,,,,,,,3445940,,04293E2130,,UETU5153004,COSU6189092980,1,6,,,,,CHRKHR20023,,02/24/20
,,,,,,,3447061,,05611M 070,,UETU5153004,COSU6189092980,4,24,,,,,CHRKHR20023,,02/24/20
