"ParentFolder","Name","Length","CreateDate"
"D:\OneDrive - ESC\Pictures\20131129\IMG_0753.JPG","IMG_0753.JPG","2405375","8/6/2018 6:20:18 AM"
"D:\OneDrive - ESC\Pictures\20131129\IMG_0754.JPG","IMG_0754.JPG","2214517","8/6/2018 6:20:24 AM"
"D:\OneDrive - ESC\Pictures\20131129\IMG_0755.JPG","IMG_0755.JPG","2416918","8/6/2018 6:20:30 AM"
"D:\OneDrive - ESC\Pictures\20131129\IMG_0756.JPG","IMG_0756.JPG","2357937","8/6/2018 6:20:34 AM"
"D:\OneDrive - ESC\Pictures\20131129\IMG_0757.JPG","IMG_0757.JPG","381924","8/6/2018 6:20:36 AM"
"D:\OneDrive - ESC\Pictures\20131129\IMG_0758.JPG","IMG_0758.JPG","370597","8/6/2018 6:20:38 AM"
"D:\OneDrive - ESC\Pictures\20131129\IMG_0759.JPG","IMG_0759.JPG","2104547","8/6/2018 6:21:00 AM"
"D:\OneDrive - ESC\Pictures\20131129\IMG_0760.JPG","IMG_0760.JPG","2176854","8/6/2018 6:21:20 AM"
"D:\OneDrive - ESC\Pictures\20131129\IMG_0761.JPG","IMG_0761.JPG","2177716","8/6/2018 6:21:42 AM"
"D:\OneDrive - ESC\Pictures\20131129\IMG_0762.JPG","IMG_0762.JPG","586218","8/6/2018 6:21:44 AM"
"D:\OneDrive - ESC\Pictures\20131129\IMG_0763.JPG","IMG_0763.JPG","2110552","8/6/2018 6:22:06 AM"
"D:\OneDrive - ESC\Pictures\20131129\IMG_0764.JPG","IMG_0764.JPG","1957094","8/6/2018 6:22:24 AM"
"D:\OneDrive - ESC\Pictures\20131129\IMG_0765.JPG","IMG_0765.JPG","2410232","8/6/2018 6:22:48 AM"
"D:\OneDrive - ESC\Pictures\20131129\IMG_0766.JPG","IMG_0766.JPG","2258598","8/6/2018 6:23:02 AM"
"D:\OneDrive - ESC\Pictures\20131129\May182014_0012.JPG","May182014_0012.JPG","2291220","8/6/2018 6:20:16 AM"
"D:\OneDrive - ESC\Pictures\2013118\bubble blowing-Berlin.JPG","bubble blowing-Berlin.JPG","1214503","8/6/2018 10:07:08 PM"
"D:\OneDrive - ESC\Pictures\2013118\IMG_0665.JPG","IMG_0665.JPG","1269580","8/6/2018 10:07:12 PM"
"D:\OneDrive - ESC\Pictures\2013118\IMG_0666.JPG","IMG_0666.JPG","1128184","8/6/2018 10:07:30 PM"
"D:\OneDrive - ESC\Pictures\2013118\IMG_0667.JPG","IMG_0667.JPG","1323719","8/6/2018 10:07:52 PM"
"D:\OneDrive - ESC\Pictures\2013118\IMG_0668.JPG","IMG_0668.JPG","1165187","8/6/2018 10:08:12 PM"
"D:\OneDrive - ESC\Pictures\2013118\IMG_0669.JPG","IMG_0669.JPG","2116358","8/6/2018 10:08:18 PM"
"D:\OneDrive - ESC\Pictures\2013118\IMG_0670.JPG","IMG_0670.JPG","2412389","8/6/2018 10:08:20 PM"
"D:\OneDrive - ESC\Pictures\2013118\IMG_0672.JPG","IMG_0672.JPG","2426516","8/6/2018 10:08:42 PM"
"D:\OneDrive - ESC\Pictures\2013118\IMG_0673.JPG","IMG_0673.JPG","2271449","8/6/2018 10:08:54 PM"
"D:\OneDrive - ESC\Pictures\2013118\IMG_0675.JPG","IMG_0675.JPG","535123","8/6/2018 10:09:14 PM"
"D:\OneDrive - ESC\Pictures\2013118\IMG_0676.JPG","IMG_0676.JPG","3887273","8/6/2018 10:09:38 PM"
"D:\OneDrive - ESC\Pictures\2013118\IMG_0677.JPG","IMG_0677.JPG","455984","8/6/2018 10:10:00 PM"
"D:\OneDrive - ESC\Pictures\2013118\IMG_0679.JPG","IMG_0679.JPG","2642046","8/6/2018 10:10:24 PM"
"D:\OneDrive - ESC\Pictures\2013118\IMG_0680.JPG","IMG_0680.JPG","2279628","8/6/2018 10:10:26 PM"
"D:\OneDrive - ESC\Pictures\2013118\IMG_0681.JPG","IMG_0681.JPG","1927478","8/6/2018 10:10:38 PM"
"D:\OneDrive - ESC\Pictures\2013118\IMG_0682.JPG","IMG_0682.JPG","1446877","8/6/2018 10:10:42 PM"
"D:\OneDrive - ESC\Pictures\2013118\IMG_0683.JPG","IMG_0683.JPG","2475505","8/6/2018 10:10:58 PM"
"D:\OneDrive - ESC\Pictures\2013118\IMG_0684.JPG","IMG_0684.JPG","2748690","8/6/2018 10:11:22 PM"
"D:\OneDrive - ESC\Pictures\2013118\IMG_0685.JPG","IMG_0685.JPG","2795831","8/6/2018 10:11:38 PM"
"D:\OneDrive - ESC\Pictures\2013118\IMG_0686.JPG","IMG_0686.JPG","1675171","8/6/2018 10:12:00 PM"
"D:\OneDrive - ESC\Pictures\2013118\IMG_0687.JPG","IMG_0687.JPG","2221407","8/6/2018 10:12:02 PM"
"D:\OneDrive - ESC\Pictures\2013118\IMG_0688.JPG","IMG_0688.JPG","319815","8/6/2018 10:12:04 PM"
"D:\OneDrive - ESC\Pictures\2013118\IMG_0689.JPG","IMG_0689.JPG","350659","8/6/2018 10:12:22 PM"
"D:\OneDrive - ESC\Pictures\2013118\IMG_0690.JPG","IMG_0690.JPG","2008070","8/6/2018 10:12:44 PM"
"D:\OneDrive - ESC\Pictures\2013118\IMG_0695.JPG","IMG_0695.JPG","1704962","8/6/2018 10:13:00 PM"
"D:\OneDrive - ESC\Pictures\2013118\IMG_0700.JPG","IMG_0700.JPG","1986738","8/6/2018 10:13:22 PM"
"D:\OneDrive - ESC\Pictures\2013118\IMG_0701.JPG","IMG_0701.JPG","1193148","8/6/2018 10:13:24 PM"
"D:\OneDrive - ESC\Pictures\2013118\IMG_0704.JPG","IMG_0704.JPG","1113627","8/6/2018 10:13:36 PM"
"D:\OneDrive - ESC\Pictures\2013118\IMG_0739.JPG","IMG_0739.JPG","1489696","8/6/2018 10:18:22 PM"
"D:\OneDrive - ESC\Pictures\2013118\IMG_0740.JPG","IMG_0740.JPG","472361","8/6/2018 10:18:24 PM"
"D:\OneDrive - ESC\Pictures\2013118\IMG_0741.JPG","IMG_0741.JPG","448252","8/6/2018 10:18:44 PM"
"D:\OneDrive - ESC\Pictures\2013118\John Harvard.JPG","John Harvard.JPG","3330120","8/6/2018 9:58:14 PM"
"D:\OneDrive - ESC\Pictures\2013118\Raiders.jpg","Raiders.jpg","17671176","8/6/2018 9:49:34 PM"
"D:\OneDrive - ESC\Pictures\2013118\red flowers--berlin.JPG","red flowers--berlin.JPG","3493233","8/6/2018 10:05:34 PM"
"D:\OneDrive - ESC\Pictures\2013118\The Met NYC.JPG","The Met NYC.JPG","2207554","8/6/2018 10:02:00 PM"
"D:\OneDrive - ESC\Pictures\20140414\iphone_0064.JPG","iphone_0064.JPG","1493946","8/6/2018 12:45:12 PM"
"D:\OneDrive - ESC\Pictures\20140414\iphone_0065.JPG","iphone_0065.JPG","1662843","8/6/2018 12:45:20 PM"
"D:\OneDrive - ESC\Pictures\20140414\iphone_0066.JPG","iphone_0066.JPG","1705058","8/6/2018 12:45:38 PM"
"D:\OneDrive - ESC\Pictures\20140414\iphone_0067.JPG","iphone_0067.JPG","1682348","8/6/2018 12:45:40 PM"
"D:\OneDrive - ESC\Pictures\20140414\iphone_0068.JPG","iphone_0068.JPG","1619801","8/6/2018 12:46:02 PM"
"D:\OneDrive - ESC\Pictures\20140414\iphone_0069.JPG","iphone_0069.JPG","383485","8/6/2018 12:46:22 PM"
"D:\OneDrive - ESC\Pictures\20140414\iphone_0070.JPG","iphone_0070.JPG","386075","8/6/2018 12:46:44 PM"
"D:\OneDrive - ESC\Pictures\20140414\iphone_0071.JPG","iphone_0071.JPG","1606717","8/6/2018 12:46:48 PM"
"D:\OneDrive - ESC\Pictures\20140414\iphone_0072.JPG","iphone_0072.JPG","844343","8/6/2018 12:46:50 PM"
"D:\OneDrive - ESC\Pictures\20140414\iphone_0073.JPG","iphone_0073.JPG","1388862","8/6/2018 12:46:56 PM"
"D:\OneDrive - ESC\Pictures\20140414\iphone_0074.JPG","iphone_0074.JPG","1360376","8/6/2018 12:46:58 PM"
"D:\OneDrive - ESC\Pictures\20140414\iphone_0075.JPG","iphone_0075.JPG","1344017","8/6/2018 12:47:18 PM"
"D:\OneDrive - ESC\Pictures\20140414\iphone_0076.JPG","iphone_0076.JPG","2107067","8/6/2018 12:47:40 PM"
"D:\OneDrive - ESC\Pictures\20140414\iphone_0078.JPG","iphone_0078.JPG","1795236","8/6/2018 12:48:12 PM"
"D:\OneDrive - ESC\Pictures\20140414\iphone_0079.JPG","iphone_0079.JPG","1655425","8/6/2018 12:48:34 PM"
"D:\OneDrive - ESC\Pictures\20140414\iphone_0080.JPG","iphone_0080.JPG","460807","8/6/2018 12:48:36 PM"
"D:\OneDrive - ESC\Pictures\20140414\iphone_0081.JPG","iphone_0081.JPG","2470658","8/6/2018 12:48:58 PM"
"D:\OneDrive - ESC\Pictures\20140414\iphone_0082.JPG","iphone_0082.JPG","2194000","8/6/2018 12:49:00 PM"
"D:\OneDrive - ESC\Pictures\20140414\iphone_0083.JPG","iphone_0083.JPG","2195746","8/6/2018 12:49:04 PM"
"D:\OneDrive - ESC\Pictures\20140414\iphone_0084.JPG","iphone_0084.JPG","2103991","8/6/2018 12:49:26 PM"
"D:\OneDrive - ESC\Pictures\20140414\iphone_0085.JPG","iphone_0085.JPG","2035263","8/6/2018 12:49:38 PM"
"D:\OneDrive - ESC\Pictures\20140414\iphone_0087.JPG","iphone_0087.JPG","7328836","8/6/2018 12:50:26 PM"
"D:\OneDrive - ESC\Pictures\20140414\iphone_0089.JPG","iphone_0089.JPG","1622586","8/6/2018 12:51:30 PM"
"D:\OneDrive - ESC\Pictures\20140414\iphone_0092.JPG","iphone_0092.JPG","2854585","8/6/2018 12:53:04 PM"
"D:\OneDrive - ESC\Pictures\20140414\iphone_0093.JPG","iphone_0093.JPG","473365","8/6/2018 12:53:14 PM"
"D:\OneDrive - ESC\Pictures\20140414\iphone_0094.JPG","iphone_0094.JPG","498569","8/6/2018 12:53:16 PM"
"D:\OneDrive - ESC\Pictures\20140414\iphone_0095.JPG","iphone_0095.JPG","2443921","8/6/2018 12:53:38 PM"
"D:\OneDrive - ESC\Pictures\20140414\iphone_0096.JPG","iphone_0096.JPG","2480816","8/6/2018 12:53:54 PM"
"D:\OneDrive - ESC\Pictures\20140414\iphone_0097.JPG","iphone_0097.JPG","2052333","8/6/2018 12:53:58 PM"
"D:\OneDrive - ESC\Pictures\20140414\iphone_0098.JPG","iphone_0098.JPG","1776504","8/6/2018 12:54:00 PM"
"D:\OneDrive - ESC\Pictures\20140414\iphone_0099.JPG","iphone_0099.JPG","1810505","8/6/2018 12:54:24 PM"
"D:\OneDrive - ESC\Pictures\20140414\iphone_0100.JPG","iphone_0100.JPG","1698385","8/6/2018 12:54:34 PM"
"D:\OneDrive - ESC\Pictures\20140414\iphone_0102.JPG","iphone_0102.JPG","1779015","8/6/2018 12:55:14 PM"
"D:\OneDrive - ESC\Pictures\20140414\iphone_0103.JPG","iphone_0103.JPG","2284448","8/6/2018 12:55:36 PM"
"D:\OneDrive - ESC\Pictures\20140414\iphone_0104.JPG","iphone_0104.JPG","2245858","8/6/2018 12:55:52 PM"
"D:\OneDrive - ESC\Pictures\20140414\iphone_0105.JPG","iphone_0105.JPG","2209135","8/6/2018 12:55:54 PM"
"D:\OneDrive - ESC\Pictures\20140414\iphone_0106.JPG","iphone_0106.JPG","2280919","8/6/2018 12:56:00 PM"
"D:\OneDrive - ESC\Pictures\20140414\iphone_0107.JPG","iphone_0107.JPG","2639186","8/6/2018 12:56:04 PM"
"D:\OneDrive - ESC\Pictures\20140414\iphone_0108.JPG","iphone_0108.JPG","2352869","8/6/2018 12:56:28 PM"
